title,,,,,,,,,,,,,,,,,publish_time
Viral Discovery and Sequence Recovery Using DNA Microarrays,,,,,,,,,,,,,,,,,11/17/2003
Mutations in the IGF-II pathway that confer resistance to lytic reovirus infection,,,,,,,,,,,,,,,,,8/27/2004
Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003,,,,,,,,,,,,,,,,,9/6/2004
A human in vitro model system for investigating genome-wide host responses to SARS coronavirus infection,,,,,,,,,,,,,,,,,9/9/2004
Logistics of community smallpox control through contact tracing and ring vaccination: a stochastic network model,,,,,,,,,,,,,,,,,8/6/2004
Virology on the Internet: the time is right for a new journal,,,,,,,,,,,,,,,,,8/26/2004
A touchdown nucleic acid amplification protocol as an alternative to culture backup for immunofluorescence in the routine diagnosis of acute viral respiratory tract infections,,,,,,,,,,,,,,,,,10/25/2004
Clinical education of ethicists: the role of a clinical ethics fellowship,,,,,,,,,,,,,,,,,11/8/2004
A systematic review of the effectiveness of antimicrobial rinse-free hand sanitizers for prevention of illness-related absenteeism in elementary school children,,,,,,,,,,,,,,,,,11/1/2004
Proteomics computational analyses suggest that the carboxyl terminal glycoproteins of Bunyaviruses are class II viral fusion protein (beta-penetrenes),,,,,,,,,,,,,,,,,11/15/2004
Genome structure and transcriptional regulation of human coronavirus NL63,,,,,,,,,,,,,,,,,11/17/2004
The Structure of a Rigorously Conserved RNA Element within the SARS Virus Genome,,,,,,,,,,,,,,,,,12/28/2004
SARS and hospital priority setting: a qualitative case study and evaluation,,,,,,,,,,,,,,,,,12/19/2004
The involvement of survival signaling pathways in rubella-virus induced apoptosis,,,,,,,,,,,,,,,,,1/4/2005
Bioinformatic mapping of AlkB homology domains in viruses,,,,,,,,,,,,,,,,,1/3/2005
"Dynamic changes of serum SARS-Coronavirus IgG, pulmonary function and radiography in patients recovering from SARS after hospital discharge",,,,,,,,,,,,,,,,,1/8/2005
Protein secretion in Lactococcus lactis : an efficient way to increase the overall heterologous protein production,,,,,,,,,,,,,,,,,1/4/2005
Accuracy of parents in measuring body temperature with a tympanic thermometer,,,,,,,,,,,,,,,,,1/11/2005
Trade and Health: Is the Health Community Ready for Action?,,,,,,,,,,,,,,,,,1/25/2005
Expression profile of immune response genes in patients with Severe Acute Respiratory Syndrome,,,,,,,,,,,,,,,,,1/18/2005
Molecular mechanisms of severe acute respiratory syndrome (SARS),,,,,,,,,,,,,,,,,1/20/2005
"Reference gene selection for quantitative real-time PCR analysis in virus infected cells: SARS corona virus, Yellow fever virus, Human Herpesvirus-6, Camelpox virus and Cytomegalovirus infections",,,,,,,,,,,,,,,,,2/10/2005
A novel pancoronavirus RT-PCR assay: frequent detection of human coronavirus NL63 in children hospitalized with respiratory tract infections in Belgium,,,,,,,,,,,,,,,,,2/1/2005
The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,,,,,,,,,,,,,,,,,2/10/2005
The Courage to Change the Rules: A Proposal for an Essential Health R&D Treaty,,,,,,,,,,,,,,,,,2/22/2005
SARS Transmission Pattern in Singapore Reassessed by Viral Sequence Variation Analysis,,,,,,,,,,,,,,,,,2/22/2005
Recombinant Tula hantavirus shows reduced fitness but is able to survive in the presence of a parental virus: analysis of consecutive passages in a cell culture,,,,,,,,,,,,,,,,,2/22/2005
Australia's international health relations in 2003,,,,,,,,,,,,,,,,,2/21/2005
Synergistic inhibition of human cytomegalovirus replication by interferon-alpha/beta and interferon-gamma,,,,,,,,,,,,,,,,,2/23/2005
Orientation determination by wavelets matching for 3D reconstruction of very noisy electron microscopic virus images,,,,,,,,,,,,,,,,,3/2/2005
Recombination Every Day: Abundant Recombination in a Virus during a Single Multi-Cellular Host Infection,,,,,,,,,,,,,,,,,3/1/2005
Prospective evaluation of an internet-linked handheld computer critical care knowledge access system,,,,,,,,,,,,,,,,,10/14/2004
Subversion of Cellular Autophagosomal Machinery by RNA Viruses,,,,,,,,,,,,,,,,,4/26/2005
The immediate effects of the severe acute respiratory syndrome (SARS) epidemic on childbirth in Taiwan,,,,,,,,,,,,,,,,,4/4/2005
Molecular advances in the cell biology of SARS-CoV and current disease prevention strategies,,,,,,,,,,,,,,,,,4/15/2005
